Analysis	Original study	Our proposed study	Overlap	New information	External validation	Risk
DEG: MAN-F vs ND-NF / each control	DONE (main claim)	仅作为 replication + QC + pipeline 校准	High (identical comparisons)	None (pure replication)	Not applicable	Low risk if framed as replication; HIGH risk if presented as novelty
Pathway enrichment: UPR/ER stress, autophagy activation	DONE (core mechanism claim)	仅背景/QC 复现；不作为 main finding	High	None	Not applicable	High - this is the original central claim, must not be re-sold
Pathway enrichment: cell cycle / adhesion suppression	DONE (core mechanism claim)	背景/QC 复现	High	None	Not applicable	High
p53 / Ki-67 / cytoskeleton claims	DONE/PARTIAL (mostly protein/imaging evidence in abstract)	不触碰；仅报告我们转录层面的独立观察（若存在），作为补充	Medium	Marginal	Not applicable	Medium - risk of 'scooping' original narrative without new angle
2x2 factorial interaction (Device x Field) decomposition of transcriptional response	DONE? / UNKNOWN (no GEO/SRA evidence; Methods unseen)	Primary analysis candidate: define MAN-F-specific (synergistic) transcriptional program after removing field-only and device-only effects	Low-Medium (orthogonal decomposition of same data)	Field-only vs device-only vs synergy components never described in public record	Not needed for discovery; needs biological interpretation	Medium - if original Methods contain interaction terms (must re-check after paper release)
HITMAN/treatment-response core transcriptional signature construction + external projection	DONE? / NOT DONE (no evidence; likely absent)	Build compact HITMAN-response signature; project onto TCGA-GBM / CGGA / external GEO	Low	Entirely new analytical object	TCGA-GBM, CGGA, external GEO	Medium - requires careful cell-line-to-tumor extrapolation semantics
Association of induced program with GBM molecular subtypes / patient prognosis	DONE? / NOT DONE (no patient cohort in study)	Correlate signature with TCGA subtype (classical/mesenchymal/proneural), IDH/grade context, survival	Low	New clinical layer	TCGA-GBM, CGGA	Medium - survival analyses underpowered/confounded if not handled correctly; correlation not causation
scRNA-seq cell-state localization of the induced program	DONE? / NOT DONE (no single-cell in study)	Map signature to public GBM scRNA-seq (e.g. tumor cell states: neural-progenitor-like, mesenchymal-like, cycling)	Low	New cell-state layer	Public scRNA-seq GEO/zenodo	Medium - requires careful signature transfer
Comparison with Tumor Treating Fields (TTFields/NovoTTF) transcriptomic response	DONE? / NOT DONE (not mentioned)	Compare HITMAN program with any public TTFields-perturbed GBM transcriptome to find shared vs unique electric-field programs	Low	New comparative framework	External GEO (must verify TTFields RNA-seq datasets exist)	High feasibility risk - TTFields public bulk RNA-seq may be scarce; must verify before committing
UPR/ISR branch-level dissection (IRE1a-XBP1/ATF6/PERK-ATF4; ISR) beyond whole-pathway enrichment	DONE? / UNKNOWN (abstract claims pathway level only)	Fine-grained branch activity scoring on the 20-sample matrix	Medium	Branch-level resolution and directionality not evidenced in public record	Optional (external cell-line perturbation data)	Medium - partial overlap with original pathway story; value is resolution not direction
Immune / immunogenic-cell-death (ICD) / antigen-presentation relevance of the response	DONE? / NOT DONE (no immune analyses evidenced)	Score ICD/DAMPs/MHC-I regulators; link to GBM immune-cold/hot context	Low	New biological angle	TCGA immune deconvolution, scRNA-seq	Medium - requires wet-lab-free caveats; cell-line only
TMZ-resistance reversal at transcriptional level	DONE (phenotype only) / UNKNOWN (transcriptome)	If external TMZ-resistant GBM transcriptomes exist, test whether HITMAN program opposes resistance program	Low	New drug-context integration	External GEO (TMZ-resistant GBM lines/PDX)	Medium-High - external data availability uncertain
