figure	regenerated_rows	stage_log_rows	intersection	verdict	log_origin
FigS1	57	57	57	IDENTICAL_SET	regenerated (reproducibility verification run, released script)
FigS2	6	6	6	IDENTICAL_SET	regenerated (reproducibility verification run, released script)
FigS3	50	50	50	IDENTICAL_SET	regenerated (reproducibility verification run, released script)
FigS4	2	2	2	IDENTICAL_SET	regenerated (reproducibility verification run, released script)
FigS5	70	70	70	IDENTICAL_SET	regenerated (reproducibility verification run, released script)
FigS6	5	5	5	IDENTICAL_SET	regenerated (reproducibility verification run, released script)
FigS7	14	14	14	IDENTICAL_SET	regenerated (reproducibility verification run, released script)
FigS8	8	8	8	IDENTICAL_SET	regenerated (reproducibility verification run, released script)
FigS9	28	28	28	IDENTICAL_SET	regenerated (reproducibility verification run, released script)
Fig1	7	7	7	IDENTICAL_SET	regenerated (reproducibility verification run, released script)
Fig2	6	6	6	STAGE_RECORD_LOG (identical to stage log by construction)	stage record (released fig2_ac_only.py emits no value log)
Fig3	97	97	97	IDENTICAL_SET	regenerated (reproducibility verification run, released script)
Fig4	73	73	73	IDENTICAL_SET	regenerated (reproducibility verification run, released script)
Fig5	58	58	58	IDENTICAL_SET	regenerated (reproducibility verification run, released script)
Fig6	178	92	0	VALUE_TOKENS_100PCT_COVERED (100% of stage numeric tokens present in master log; row sets differ only in label granularity A/B joint vs split - see FIGURE_FIG6_2X2_AXES_PAYLOAD.tsv: 6/8 axes byte-identical payload digest, 2/8 differ only in tick-label coordinates)	regenerated (released Fig6 2x2 re-composition render)
