negative_id	category	result_detail	source_analysis	effect_statistics	preregistered_status	manuscript_location	handling_rule
N1	CGGA expected-direction failures	CGGA 中 anti-proliferative 与 TNF/p53 由预期负相关反转为弱正；C4_UP-C4_DOWN 在 CGGA 呈 +rho(单轴化)	C3 Q1/C3_ROBUSTNESS	C4_UP-C4_DOWN: TCGA -0.32 vs CGGA +0.46；antiProlif-TNF -0.15 vs +0.12；antiProlif-p53 -0.08 vs +0.20；expected 命中 TCGA 12/21, CGGA 9/21	Q1=PARTIAL	Fig6C(森林图高亮)/Fig6D/Results §6 显式段落	禁止隐藏；作为 cohort architecture difference 报告，不称为 technical artifact
N2	CGGA subtype 不可检	CGGA WHO-IV 无分子亚型注释，Q2 在两队列层面 NOT TESTABLE，避免强行 proxy 分层	C3 Q2	NA(n=249 无亚型字段)	Q2 cross-cohort=NOT TESTABLE	Fig6B 标注/Results §6/Methods	明示 why NOT TESTABLE；只报告 TCGA n44 单队列 contextual
N3	autophagy(MES) 在 human bulk 不显著	TCGA n44 MES 中 autophagy/lysosome module 无富集证据；scRNA 中亦仅 expanded-sensitivity 支持	C3 SECONDARY + C2 LayerA	TCGA MES +84.4, P=0.334；Layer A core MES fdr 0.110；CCDEP fdr 0.060(n.s.)	SECONDARY=PARTIAL	Results(SECONDARY 段)/Supp S5	autophagy 只能以 B 级 sensitivity qualifier 出现；bulk 负结果须写
N4	C5_DOWN/STABLE_DOWN MES n.s.	C5 下方向 signature 在 human MES context 不显著，且含 CC 依赖的 Cycling 共富集	C3 C5 exploratory + C2	TCGA n44 C5_DOWN MES 不显著；Layer A MES fdr 0.495/0.549；expanded n.s.	C5 exploratory=PARTIAL	Fig4C 诊断/Supp S8/正文 exploratory	禁止把 C5_DOWN 写成 MES 状态程序；其 Cycling 组分仅作 CC 诊断
N5	HSF1 cohort reversal	HSF1 模块在 Discovery 富集 MES，在 Layer A 反转至 NPC；bulk 中不进入 confirmatory	C2.10/C2.11 + C2.12 冻结	Discovery MES fdr 0.002；Layer A NPC +0.0145(fdr 0.004) 而 MES -0.0002(fdr 1.000)；CCDEP LA fdr 0.897	Grade E（冻结，不升级）	Fig4D(警示框)/Supp S8	只作 cohort-dependent heterogeneity 报告；禁止 conserved/shared/支持性表述
N6	Layer B NOT TESTABLE	Layer B 队列细胞数/患者数低于预注册 coverage 阈值，不能提供 replication evidence	C2.9/C2.11	not evaluable(NA)	预注册 FAIL(NOT TESTABLE)	Fig5D/Supp S6/Limitations	以 coverage 表明示不可检；禁止用 Layer B 写任何 replication
N7	C5 base Layer A MES 不显著	C5_UP/STABLE_UP 在独立 Layer A 仅方向一致、base FDR 未过 0.05	C2.10	MES fdr 0.0563/0.0563(>0.05)；expanded 0.0053(敏感性)	C5=Grade C(incompletely replicated)	Fig4C/Results §C5 段/Supp S4	表述锁定 'directionally concordant, not replicated'；禁止 validated/replicated/confirmed
N8	RIG-I(MES 组分) Discovery-only	RIG-I type-I IFN 的 MES 组分在 Layer A 未重复且 expanded 为负向(均 n.s.)，仅 AC 组分 A 级	C2.10/C2.11	Layer A MES fdr 0.604；expanded MES n.s.(-0.0017, 0.694)；AC fdr 0.0089	Grade D(Discovery-only)	Supp S3/正文 MES 组分剔除说明	D 级行只进 Supp；PRIMARY TCGA/CGGA 集已排除 MES 组分，AC 允许
N9	C4_DOWN expanded-state 衰减	C4_DOWN 在 expanded-state 映射中 Cycling 富集不显著(expanded fdr 0.594)，Cycling anchor 依赖原映射	C2.8	expanded n.s.(0.594)；原映射 Layer A fdr 0.0040	A(Cycling anchor 保留)+expanded caveat	Fig3/Supp S5	以 sensitivity 标注，不隐瞒 expanded 衰减
N10	anti-proliferative expanded Cycling 衰减	shared antiproliferative 模块在 expanded 映射集 Cycling 富集减弱 n.s.	C2.8	expanded Cycling n.s.(0.249 范围)	A(主映射 anchor)+caveat	Supp S5	同 N9 规则
N11	U87MG_DBS outlier	U87MG_DBS 广泛激活多数模块(增殖/HSF1/SREBP/IFN)，与其余 5 个 comparator 全部反向	C1	U87MG_DBS 单独行为；对照 n=2	NA(不计重复；限制权重)	Fig2 标注/Supp S2/Discussion	以 n=2 控制局限披露；禁止用其做任何 replication/代表值
N12	C5 未在传统电场平台重现	C5 interaction program 与 TTFields/DBS 基因级 rank overlap 近 null、方向性 GSEA 为负(KNS-42/GIN-28 双刺激)	C1	C5 gene-level concordance 0.45-0.54；C5 stable subset 0.52-0.56；NES corr ~0.00	预注册 Not supported	Supp S2/S10/Discussion	用于界定 C5=HITMAN×field 特异 interaction，不作 shared electrotherapy 表述
N13	Q1 expected 命中率低于预注册阈值	TCGA 12/21 与 CGGA 9/21 expected pairs 命中(未达预注册预设的高命中标准)	C3 Q1	12/21；9/21	Q1=PARTIAL	Results §5 表/Fig6A-B(预期符号标注)	如实报告命中率；不 re-define 对子集凑数
N14	CGGA 分层无改善	IDH-WT/Mut、primary/recurrent 分层后 Q1 dir-match 仍 9/21，不改善 expected 命中	C3 robustness	IDH-WT n=190 9/21；IDH-Mut n=49 9/21；Primary n=140 9/21；Recurrent n=109 9/21	PARTIAL	Supp(S9 分层)/Fig6D	作为稳健性如实陈述：异质性非分层可解释
N15	基因级跨平台一致缺失	C4/C5 与 comparators 基因级 signed 相关近零(方向一致 0.45-0.54)，共享仅在 pathway/module 层	C1	|Pearson/Spearman|<=0.14；concordance 0.45-0.54	预注册边界(只做 module 层)	Methods/Results §C1/Discussion	明确 shared 是 module 级概念，禁写 gene-level reproducible
