figure	asset_tif	px	dpi_x	dpi_y	color_mode	bytes	integrity	png	pdf	legend_panels	script_panels	plotted_value_rows	values_check	technical_qc	status	note	source_tables
Fig1	output/figures/Fig1.tif	2880x2492	400	400	RGB	619480	OK	YES	YES	A,B,C,D	A,B,C,D	105	CONSISTENT (F21_CONSISTENCY 19/19)	PASS	READY	panels in asset match the FINAL legend; values traceable to frozen tables	-
Fig2	output/figures/Fig2.tif	2880x2784	400	400	RGB	535456	OK	YES	YES	A,B,C	A,B,C	90	CONSISTENT (F21_CONSISTENCY 19/19)	PASS	READY	panels in asset match the FINAL legend; values traceable to frozen tables	-
Fig3	output/figures/Fig3.tif	2880x3879	400	400	RGB	1203318	OK	YES	YES	A,B	A,B	1261	CONSISTENT (F21_CONSISTENCY 19/19)	PASS	READY	panels in asset match the FINAL legend; values traceable to frozen tables	-
Fig4	output/figures/Fig4.tif	2880x4615	400	400	RGB	1516184	OK	YES	YES	A,B,C,D	A,B,C,D	1168	CONSISTENT (F21_CONSISTENCY 19/19)	PASS	READY	panels in asset match the FINAL legend; values traceable to frozen tables	-
Fig5	output/figures/Fig5.tif	2880x5040	400	400	RGB	1512278	OK	YES	YES	A,B,C,D	A,B,C,D	928	CONSISTENT (F21_CONSISTENCY 19/19)	PASS	READY	panels in asset match the FINAL legend; values traceable to frozen tables	-
Fig6	output/figures/Fig6.tif	2960x5560	400	400	RGB	1205980	OK	YES	YES	A,B,C,D	A,B,C,D	2392	CONSISTENT (F21_CONSISTENCY 19/19)	PASS	READY	panels in asset match the FINAL legend; values traceable to frozen tables	-
FigS1	output/figures/supplementary/FigS1.tif	2960x1499	400	400	RGB	498290	OK	YES	YES	prose (non-enumerating)	A-C (drawn per available data)	855	CONSISTENT (F21_CONSISTENCY 19/19)	PASS	READY	FINAL legend is prose (does not enumerate panels); asset carries the same panels as the frozen layout script; values traceable to frozen tables	-
FigS2	output/figures/supplementary/FigS2.tif	2960x1379	400	400	RGB	390520	OK	YES	YES	prose (non-enumerating)	A-C (drawn per available data)	90	CONSISTENT (F21_CONSISTENCY 19/19)	PASS	READY	FINAL legend is prose (does not enumerate panels); asset carries the same panels as the frozen layout script; values traceable to frozen tables	-
FigS3	output/figures/supplementary/FigS3.tif	2960x1252	400	400	RGB	380188	OK	YES	YES	prose (non-enumerating)	A-C (drawn per available data)	750	CONSISTENT (F21_CONSISTENCY 19/19)	PASS	READY	FINAL legend is prose (does not enumerate panels); asset carries the same panels as the frozen layout script; values traceable to frozen tables	-
FigS4	output/figures/supplementary/FigS4.tif	2960x1090	400	400	RGB	294920	OK	YES	YES	prose (non-enumerating)	A-C (drawn per available data)	30	CONSISTENT (F21_CONSISTENCY 19/19)	PASS	READY	FINAL legend is prose (does not enumerate panels); asset carries the same panels as the frozen layout script; values traceable to frozen tables	-
FigS5	output/figures/supplementary/FigS5.tif	2960x1819	400	400	RGB	594668	OK	YES	YES	prose (non-enumerating)	A-C (drawn per available data)	1050	CONSISTENT (F21_CONSISTENCY 19/19)	PASS	READY	FINAL legend is prose (does not enumerate panels); asset carries the same panels as the frozen layout script; values traceable to frozen tables	-
FigS6	output/figures/supplementary/FigS6.tif	2960x1336	400	400	RGB	348712	OK	YES	YES	prose (non-enumerating)	A-C (drawn per available data)	75	CONSISTENT (F21_CONSISTENCY 19/19)	PASS	READY	FINAL legend is prose (does not enumerate panels); asset carries the same panels as the frozen layout script; values traceable to frozen tables	-
FigS7	output/figures/supplementary/FigS7.tif	3040x1286	400	400	RGB	642060	OK	YES	YES	prose (non-enumerating)	A-C (drawn per available data)	210	CONSISTENT (F21_CONSISTENCY 19/19)	PASS	READY	FINAL legend is prose (does not enumerate panels); asset carries the same panels as the frozen layout script; values traceable to frozen tables	-
FigS8	output/figures/supplementary/FigS8.tif	3040x1166	400	400	RGB	293050	OK	YES	YES	prose (non-enumerating)	A-C (drawn per available data)	120	CONSISTENT (F21_CONSISTENCY 19/19)	PASS	READY	FINAL legend is prose (does not enumerate panels); asset carries the same panels as the frozen layout script; values traceable to frozen tables	-
FigS9	output/figures/supplementary/FigS9.tif	3040x2640	400	400	RGB	593224	OK	YES	YES	prose (non-enumerating)	A-C (drawn per available data)	420	CONSISTENT (F21_CONSISTENCY 19/19)	PASS	READY	FINAL legend is prose (does not enumerate panels); asset carries the same panels as the frozen layout script; values traceable to frozen tables	-
