figure	panel	source_frozen_table	plotting_script	output_file	scientific_recalculation	QC_status
Fig1	A	B1_MASTER_SAMPLE_SHEET.tsv; B2_CONTRAST_DICTIONARY.tsv; B2_FROZEN_SAMPLE_TABLE.tsv; B35_DESEQ2_SUMMARY.tsv; C2_12_MASTER_EVIDENCE.tsv; C2_2_FROZEN_SIGNATURES_COVERAGE.tsv; C2_LAYERB_STATE_TESTS.tsv	fig1.py	figures/Fig1.tif; figures/Fig1.png; figures/Fig1.pdf	NO	PASS (400 dpi RGB TIFF + vector PDF; technical QC PASS; values identical to frozen tables)
Fig1	B	B1_MASTER_SAMPLE_SHEET.tsv; B2_CONTRAST_DICTIONARY.tsv; B2_FROZEN_SAMPLE_TABLE.tsv; B35_DESEQ2_SUMMARY.tsv; C2_12_MASTER_EVIDENCE.tsv; C2_2_FROZEN_SIGNATURES_COVERAGE.tsv; C2_LAYERB_STATE_TESTS.tsv	fig1.py	figures/Fig1.tif; figures/Fig1.png; figures/Fig1.pdf	NO	PASS (400 dpi RGB TIFF + vector PDF; technical QC PASS; values identical to frozen tables)
Fig1	C	B1_MASTER_SAMPLE_SHEET.tsv; B2_CONTRAST_DICTIONARY.tsv; B2_FROZEN_SAMPLE_TABLE.tsv; B35_DESEQ2_SUMMARY.tsv; C2_12_MASTER_EVIDENCE.tsv; C2_2_FROZEN_SIGNATURES_COVERAGE.tsv; C2_LAYERB_STATE_TESTS.tsv	fig1.py	figures/Fig1.tif; figures/Fig1.png; figures/Fig1.pdf	NO	PASS (400 dpi RGB TIFF + vector PDF; technical QC PASS; values identical to frozen tables)
Fig1	D	B1_MASTER_SAMPLE_SHEET.tsv; B2_CONTRAST_DICTIONARY.tsv; B2_FROZEN_SAMPLE_TABLE.tsv; B35_DESEQ2_SUMMARY.tsv; C2_12_MASTER_EVIDENCE.tsv; C2_2_FROZEN_SIGNATURES_COVERAGE.tsv; C2_LAYERB_STATE_TESTS.tsv	fig1.py	figures/Fig1.tif; figures/Fig1.png; figures/Fig1.pdf	NO	PASS (400 dpi RGB TIFF + vector PDF; technical QC PASS; values identical to frozen tables)
Fig2	A	C1_focus_pathways.tsv; C3_C5_EXPLORATORY.tsv	fig2_ac_only.py	figures/Fig2.tif; figures/Fig2.png; figures/Fig2.pdf	NO	PASS (400 dpi RGB TIFF + vector PDF; technical QC PASS; values identical to frozen tables)
Fig2	B	C1_focus_pathways.tsv; C3_C5_EXPLORATORY.tsv	fig2_ac_only.py	figures/Fig2.tif; figures/Fig2.png; figures/Fig2.pdf	NO	PASS (400 dpi RGB TIFF + vector PDF; technical QC PASS; values identical to frozen tables)
Fig2	C	C1_focus_pathways.tsv; C3_C5_EXPLORATORY.tsv	fig2_ac_only.py	figures/Fig2.tif; figures/Fig2.png; figures/Fig2.pdf	NO	PASS (400 dpi RGB TIFF + vector PDF; technical QC PASS; values identical to frozen tables)
Fig3	A	B1_EMTAB9043_METADATA.tsv; C1_C4_CROSS_PLATFORM_COMPARISON.tsv; C1_C5_CROSS_PLATFORM_COMPARISON.tsv; C1_focus_pathways.tsv; C4_NEGATIVE_RESULTS.tsv	fig3.py	figures/Fig3.tif; figures/Fig3.png; figures/Fig3.pdf	NO	PASS (400 dpi RGB TIFF + vector PDF; technical QC PASS; values identical to frozen tables)
Fig3	B	B1_EMTAB9043_METADATA.tsv; C1_C4_CROSS_PLATFORM_COMPARISON.tsv; C1_C5_CROSS_PLATFORM_COMPARISON.tsv; C1_focus_pathways.tsv; C4_NEGATIVE_RESULTS.tsv	fig3.py	figures/Fig3.tif; figures/Fig3.png; figures/Fig3.pdf	NO	PASS (400 dpi RGB TIFF + vector PDF; technical QC PASS; values identical to frozen tables)
Fig4	A	C2_11_EVIDENCE_GRADES.tsv; C2_3_CC_DEPLETION_SUMMARY.tsv; C2_4_COUTURIER_SAMPLE_ROLES.tsv; C2_4_QC_NEFTEL_10X.tsv; C2_4_QC_NEFTEL_SS2.tsv; C2_LAYERB_CNV_QC.tsv; C2_LAYERB_STATE_TESTS.tsv; C2_couturier_layerA_state_tests_all.tsv; C2_ss2_state_tests_unified.tsv; C3_C5_EXPLORATORY.tsv; C4_NEGATIVE_RESULTS.tsv	fig4.py	figures/Fig4.tif; figures/Fig4.png; figures/Fig4.pdf	NO	PASS (400 dpi RGB TIFF + vector PDF; technical QC PASS; values identical to frozen tables)
Fig4	B	C2_11_EVIDENCE_GRADES.tsv; C2_3_CC_DEPLETION_SUMMARY.tsv; C2_4_COUTURIER_SAMPLE_ROLES.tsv; C2_4_QC_NEFTEL_10X.tsv; C2_4_QC_NEFTEL_SS2.tsv; C2_LAYERB_CNV_QC.tsv; C2_LAYERB_STATE_TESTS.tsv; C2_couturier_layerA_state_tests_all.tsv; C2_ss2_state_tests_unified.tsv; C3_C5_EXPLORATORY.tsv; C4_NEGATIVE_RESULTS.tsv	fig4.py	figures/Fig4.tif; figures/Fig4.png; figures/Fig4.pdf	NO	PASS (400 dpi RGB TIFF + vector PDF; technical QC PASS; values identical to frozen tables)
Fig4	C	C2_11_EVIDENCE_GRADES.tsv; C2_3_CC_DEPLETION_SUMMARY.tsv; C2_4_COUTURIER_SAMPLE_ROLES.tsv; C2_4_QC_NEFTEL_10X.tsv; C2_4_QC_NEFTEL_SS2.tsv; C2_LAYERB_CNV_QC.tsv; C2_LAYERB_STATE_TESTS.tsv; C2_couturier_layerA_state_tests_all.tsv; C2_ss2_state_tests_unified.tsv; C3_C5_EXPLORATORY.tsv; C4_NEGATIVE_RESULTS.tsv	fig4.py	figures/Fig4.tif; figures/Fig4.png; figures/Fig4.pdf	NO	PASS (400 dpi RGB TIFF + vector PDF; technical QC PASS; values identical to frozen tables)
Fig4	D	C2_11_EVIDENCE_GRADES.tsv; C2_3_CC_DEPLETION_SUMMARY.tsv; C2_4_COUTURIER_SAMPLE_ROLES.tsv; C2_4_QC_NEFTEL_10X.tsv; C2_4_QC_NEFTEL_SS2.tsv; C2_LAYERB_CNV_QC.tsv; C2_LAYERB_STATE_TESTS.tsv; C2_couturier_layerA_state_tests_all.tsv; C2_ss2_state_tests_unified.tsv; C3_C5_EXPLORATORY.tsv; C4_NEGATIVE_RESULTS.tsv	fig4.py	figures/Fig4.tif; figures/Fig4.png; figures/Fig4.pdf	NO	PASS (400 dpi RGB TIFF + vector PDF; technical QC PASS; values identical to frozen tables)
Fig5	A	C2_11_EVIDENCE_GRADES.tsv; C2_3_CC_DEPLETION_SUMMARY.tsv; C2_couturier_layerA_lopo.tsv; ss2_cellnull_ALL.tsv; ss2_lopo.tsv; ss2_pseudobulk_null.tsv	fig5.py	figures/Fig5.tif; figures/Fig5.png; figures/Fig5.pdf	NO	PASS (400 dpi RGB TIFF + vector PDF; technical QC PASS; values identical to frozen tables)
Fig5	B	C2_11_EVIDENCE_GRADES.tsv; C2_3_CC_DEPLETION_SUMMARY.tsv; C2_couturier_layerA_lopo.tsv; ss2_cellnull_ALL.tsv; ss2_lopo.tsv; ss2_pseudobulk_null.tsv	fig5.py	figures/Fig5.tif; figures/Fig5.png; figures/Fig5.pdf	NO	PASS (400 dpi RGB TIFF + vector PDF; technical QC PASS; values identical to frozen tables)
