candidate_file	file_type	size_bytes	modified_time	probable_figure	probable_panel	source_script	source_data	status	confidence	notes
B3_QC/B3_QC_C5_diagnostics.png	png	134872	2026-09-07 17:57	n/a (QC)	all (panels per FINAL legend)	legacy B3/B35 stage script (not retained)	B3_QC intermediates	LEGACY_NOT_A_MANUSCRIPT_FIGURE	low	QC diagnostic from an earlier stage; not referenced by the FINAL legend
B3_QC/B3_QC_C5_vs_C4_additivity.png	png	107395	2026-09-07 17:57	n/a (QC)	all (panels per FINAL legend)	legacy B3/B35 stage script (not retained)	B3_QC intermediates	LEGACY_NOT_A_MANUSCRIPT_FIGURE	low	QC diagnostic from an earlier stage; not referenced by the FINAL legend
C3_FIG6_CANDIDATE/fig6_AB_gradeA_correlation_heatmap.png	png	257207	2026-09-09 04:25	Fig6	all (panels per FINAL legend)	temp/c3_data/c3_figures.py (legacy)	C3_PRIMARY_RESULTS	SUPERSEDED_CANDIDATE	medium	PNG intermediate of legacy Fig6 candidate; superseded by output/figures/Fig6.tif
C3_FIG6_CANDIDATE/fig6_C_cross_cohort_rho_forest.png	png	227045	2026-09-09 04:25	Fig6	all (panels per FINAL legend)	temp/c3_data/c3_figures.py (legacy)	C3_PRIMARY_RESULTS	SUPERSEDED_CANDIDATE	medium	PNG intermediate of legacy Fig6 candidate; superseded by output/figures/Fig6.tif
C3_FIG6_CANDIDATE/fig6_D_robustness.png	png	140634	2026-09-09 04:25	Fig6	all (panels per FINAL legend)	temp/c3_data/c3_figures.py (legacy)	C3_PRIMARY_RESULTS	SUPERSEDED_CANDIDATE	medium	PNG intermediate of legacy Fig6 candidate; superseded by output/figures/Fig6.tif
C3_FIG6_CANDIDATE/fig6_E_conceptual_expected_vs_observed.png	png	206490	2026-09-09 04:25	Fig6	all (panels per FINAL legend)	temp/c3_data/c3_figures.py (legacy)	C3_PRIMARY_RESULTS	SUPERSEDED_CANDIDATE	medium	PNG intermediate of legacy Fig6 candidate; superseded by output/figures/Fig6.tif
C3_FIG6_CANDIDATE/qc_coverage_C5axis.png	png	157970	2026-09-09 04:25	Fig6	all (panels per FINAL legend)	temp/c3_data/c3_figures.py (legacy)	C3_PRIMARY_RESULTS	SUPERSEDED_CANDIDATE	medium	PNG intermediate of legacy Fig6 candidate; superseded by output/figures/Fig6.tif
CODE_RELEASE/qc_figures/B3_QC_C5_diagnostics.png	png	134872	2026-09-07 17:57	n/a (QC)	all (panels per FINAL legend)	legacy B3/B35 stage script (not retained)	B3_QC intermediates	LEGACY_NOT_A_MANUSCRIPT_FIGURE	low	QC diagnostic from an earlier stage; not referenced by the FINAL legend
CODE_RELEASE/qc_figures/B3_QC_C5_vs_C4_additivity.png	png	107395	2026-09-07 17:57	n/a (QC)	all (panels per FINAL legend)	legacy B3/B35 stage script (not retained)	B3_QC intermediates	LEGACY_NOT_A_MANUSCRIPT_FIGURE	low	QC diagnostic from an earlier stage; not referenced by the FINAL legend
figures/Fig1.pdf	pdf	36606	2026-09-10 20:39	Fig1	all (panels per FINAL legend)	temp/f21_scripts/fig1.py	frozen: B2_FROZEN_SAMPLE_TABLE, B35_DESEQ2_SUMMARY, B2_CONTRAST_DICTIONARY, C2_2_FROZEN_SIGNATURES_COVERAGE, C2_LAYERB_STATE_TESTS	RECOVERED_FROM_FROZEN_TABLES	high	reproduced main figure
figures/Fig1.png	png	305003	2026-09-10 21:47	Fig1	all (panels per FINAL legend)	temp/f21_scripts/fig1.py	frozen: B2_FROZEN_SAMPLE_TABLE, B35_DESEQ2_SUMMARY, B2_CONTRAST_DICTIONARY, C2_2_FROZEN_SIGNATURES_COVERAGE, C2_LAYERB_STATE_TESTS	RECOVERED_FROM_FROZEN_TABLES	high	reproduced main figure
figures/Fig1.tif	tif	619480	2026-09-10 21:47	Fig1	all (panels per FINAL legend)	temp/f21_scripts/fig1.py	frozen: B2_FROZEN_SAMPLE_TABLE, B35_DESEQ2_SUMMARY, B2_CONTRAST_DICTIONARY, C2_2_FROZEN_SIGNATURES_COVERAGE, C2_LAYERB_STATE_TESTS	RECOVERED_FROM_FROZEN_TABLES	high	reproduced main figure
figures/Fig2.pdf	pdf	29670	2026-09-10 22:41	Fig2	all (panels per FINAL legend)	temp/f21_scripts/fig2_ac_only.py	frozen: C1_focus_pathways, C3_C5_EXPLORATORY, _c5_axis_intermediate	RECOVERED_FROM_FROZEN_TABLES	high	reproduced main figure; layout trimmed to the FINAL legend (A-C); the surplus panel D is excluded, see FIGURE_RECONSTRUCTION_MAP
figures/Fig2.png	png	276973	2026-09-10 22:41	Fig2	all (panels per FINAL legend)	temp/f21_scripts/fig2_ac_only.py	frozen: C1_focus_pathways, C3_C5_EXPLORATORY, _c5_axis_intermediate	RECOVERED_FROM_FROZEN_TABLES	high	reproduced main figure; layout trimmed to the FINAL legend (A-C); the surplus panel D is excluded, see FIGURE_RECONSTRUCTION_MAP
figures/Fig2.tif	tif	535456	2026-09-10 22:41	Fig2	all (panels per FINAL legend)	temp/f21_scripts/fig2_ac_only.py	frozen: C1_focus_pathways, C3_C5_EXPLORATORY, _c5_axis_intermediate	RECOVERED_FROM_FROZEN_TABLES	high	reproduced main figure; layout trimmed to the FINAL legend (A-C); the surplus panel D is excluded, see FIGURE_RECONSTRUCTION_MAP
figures/Fig3.pdf	pdf	30429	2026-09-10 20:39	Fig3	all (panels per FINAL legend)	temp/f21_scripts/fig3.py	frozen: B1_EMTAB9043_METADATA, C1_C4/C5_CROSS_PLATFORM_COMPARISON, C1_focus_pathways, C4_NEGATIVE_RESULTS	RECOVERED_FROM_FROZEN_TABLES	high	reproduced main figure
figures/Fig3.png	png	452086	2026-09-10 21:47	Fig3	all (panels per FINAL legend)	temp/f21_scripts/fig3.py	frozen: B1_EMTAB9043_METADATA, C1_C4/C5_CROSS_PLATFORM_COMPARISON, C1_focus_pathways, C4_NEGATIVE_RESULTS	RECOVERED_FROM_FROZEN_TABLES	high	reproduced main figure
figures/Fig3.tif	tif	1203318	2026-09-10 21:47	Fig3	all (panels per FINAL legend)	temp/f21_scripts/fig3.py	frozen: B1_EMTAB9043_METADATA, C1_C4/C5_CROSS_PLATFORM_COMPARISON, C1_focus_pathways, C4_NEGATIVE_RESULTS	RECOVERED_FROM_FROZEN_TABLES	high	reproduced main figure
