category	item	version	note
OS	Windows	11 Build 26200	运行环境
Python	CPython	3.11.8	pydeseq2 运行解释器
Differential_engine	pydeseq2	0.5.4	DESeq2 算法 Python 实现；公式 ~MAN*Field；Wald test + BH independent filtering（DESeq2 语义）
pandas	pandas	2.3.3	数据框
numpy	numpy	2.4.6	数值计算
scipy	scipy	1.17.1	统计
statsmodels	statsmodels	0.15.0	统计辅助
gseapy	gseapy	1.3.1	prerank GSEA（signed stat，1000 permutations，seed=1）
gene_annotation	mygene	API 2026-09-07	ENSG(versioned)→symbol 批量映射（45,911 有 symbol）；结果缓存在 temp/b3_ensg_symbol_map.tsv
gene_set_source	MSigDB Hallmark	50 gene sets	cached temp/b3_gslib_HALLMARK.gmt
gene_set_source	Reactome	1816 gene sets	cached temp/b3_gslib_REACTOME.gmt
gene_set_source	GO Biological Process	6034 gene sets	cached temp/b3_gslib_GOBP.gmt
reference_genome	GRCh38 / Gencode v43	—	来源平台（B1 确认，nf-core/rnaseq v3.11.1 Salmon）
counts_type	Salmon estimated counts	—	round() 后整数矩阵用于拟合（B2 Strategy B）
design	~ MAN * Field	rank=4, cond≈6.66	full rank；MAN:ND 参照、Field:NF 参照
FDR_threshold	BH FDR<0.05	—	冻结阈值，未调整
sensitivity	drop T.Cells_Q	19 样本	同模型全对比重跑
R_DESeq2	未使用	—	引擎为 pydeseq2 0.5.4；如需 R/DESeq2 环境核对列为待办（B3_STAGE_REPORT §7.1）
